sex,surv,totlen,wingext,wgt,head,humer,femur,tibio,skull,stern
male,alive,154,241,24.5,31.2,0.687,0.668,1.022,0.587,0.83
male,alive,160,252,26.9,30.8,0.736,0.709,1.18,0.602,0.841
male,alive,155,243,26.9,30.6,0.733,0.704,1.151,0.602,0.846
male,alive,154,245,24.3,31.7,0.741,0.688,1.146,0.584,0.839
male,alive,156,247,24.1,31.5,0.715,0.706,1.129,0.575,0.821
male,alive,161,253,26.5,31.8,0.78,0.743,1.144,0.607,0.893
male,alive,157,251,24.6,31.1,0.741,0.736,1.153,0.61,0.862
male,alive,159,247,24.2,31.4,0.728,0.718,1.126,0.609,0.793
male,alive,158,247,23.6,29.8,0.703,0.673,1.079,0.602,0.82
male,alive,158,252,26.2,32,0.749,0.739,1.153,0.614,0.857
male,alive,160,252,26.2,32,0.741,0.723,1.129,0.624,0.892
male,alive,162,253,24.8,32.3,0.766,0.752,1.134,0.633,0.923
male,alive,161,243,25.4,31.8,0.721,0.722,1.126,0.597,0.891
male,alive,160,250,23.7,29.8,0.73,0.703,1.103,0.59,0.82
male,alive,159,247,25.7,31.4,0.729,0.717,1.141,0.592,0.927
male,alive,158,253,25.7,31.9,0.743,0.699,1.15,0.6,0.86
male,alive,159,247,26.5,31.6,0.733,0.714,1.155,0.611,0.923
male,alive,166,253,26.7,32.5,0.767,0.765,1.23,0.6,0.878
male,alive,159,247,23.9,31.4,0.752,0.723,1.113,0.602,0.825
male,alive,160,248,24.7,31.3,0.752,0.737,1.176,0.603,0.803
male,alive,161,252,28,31.8,0.77,0.731,1.19,0.59,0.885
male,alive,163,251,27.9,31.9,0.769,0.745,1.168,0.622,0.86
male,alive,156,242,25.9,32,0.723,0.711,1.116,0.609,0.886
male,alive,165,251,25.7,32.2,0.751,0.742,1.161,0.613,0.865
male,alive,160,247,26.6,32.4,0.728,0.707,1.108,0.59,0.836
male,alive,158,244,23.2,31.6,0.73,0.713,1.142,0.585,0.888
male,alive,160,242,25.7,31.6,0.709,0.705,1.124,0.62,0.788
male,alive,157,245,26.3,32.2,0.741,0.726,1.143,0.595,0.85
male,alive,159,244,24.3,31.5,0.723,0.698,1.107,0.615,0.847
male,alive,160,253,26.7,32.1,0.739,0.714,1.117,0.592,0.864
